,Year,Type,Country,Area,Location,Activity,Injury,Time
3635,1964.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,surfing,Heel & ankle bitten,15:00 - 17:59
3636,1964.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,playing,Heel bitten,09:00 - 11:59
3639,1964.0,Unprovoked,USA,California,Southeast Farallon Island,surfing,Leg & thigh bitten,12:00 - 14:59
3641,1964.0,Unprovoked,FIJI,"Lomaloma, Lau",Tuvuca Isalnd,swimming,Deep lacerations to her right thigh,15:00 - 17:59
3643,1964.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,swimming,Lacerations and puncture wounds in right arm ,18:00 - 20:59
3645,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Catfish Rock, between Salt Rock & Shaka's Rock",playing,"Right hand & foot severed, thigh & buttock lacerated",12:00 - 14:59
3646,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,swimming,"Lower leg bitten & foot severed, leg surgically amputated below knee",15:00 - 17:59
3648,1963.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,swimming,"FATAL, shoulders, arms, abdomen & foot bitten  ",15:00 - 17:59
3652,1963.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Hartenbos,fishing,Foot lacerated,12:00 - 14:59
3653,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umvoti,surfing,"FATAL, arm severed, leg bitten",12:00 - 14:59
3654,1963.0,Unprovoked,AUSTRALIA,South Australia,55 miles south of Adelaide,fishing,Torso & hand lacerated,12:00 - 14:59
3656,1963.0,Unprovoked,NEW ZEALAND,South Island,"Charteris Bay, Lyttleton Harbour",swimming,Hand & lower leg severely injured,12:00 - 14:59
3658,1963.0,Unprovoked,FIJI, Lau Province,"Dravuwalu, Totoya Island",fishing,Elbow bitten,09:00 - 11:59
3659,1963.0,Unprovoked,FIJI,Vita Levu,Rewa River,fishing,Ankle & foot bitten,12:00 - 14:59
3664,1963.0,Unprovoked,PALAU,Western Caroline Islands,Koror,fishing,Left calf lacerated,03:00 - 05:59
3665,1963.0,Unprovoked,USA,Florida,"Biltmore Beach, near Panama City",surfing,"Right thigh &  foot bruised, right calf  lacerated",15:00 - 17:59
3667,1963.0,Unprovoked,CHILE,,"El Panul, 12km south of Coquimbo",swimming,FATAL,09:00 - 11:59
3669,1963.0,Unprovoked,SOLOMON ISLANDS,Ysabel Island,Susukana Plantation,fishing,"FATAL, right thigh, calf & foot bitten ",12:00 - 14:59
3673,1963.0,Unprovoked,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands,"Koop Reef, Truk (Chuuk)",fishing,Upper left arm bitten,06:00 - 08:59
3674,1963.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,"Left forearm bitten, surgically amputated?",15:00 - 17:59
3678,1963.0,Unprovoked,GREECE,Thessaly,near Trikerion Island,swimming,FATAL,15:00 - 17:59
3683,1963.0,Unprovoked,USA,US Virgin Islands,"St. Thomas, Magens Bay",swimming,"FATAL, hand severed, shoulder, hip, foot, thigh bitten & femoral artery severed  ",12:00 - 14:59
3684,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,swimming,Buttock bitten,12:00 - 14:59
3686,1963.0,Unprovoked,USA,Hawaii,"Awili, South Kona, Hawai'i",surfing,Left foot & leg bitten,12:00 - 14:59
3689,1963.0,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Namatanai,swimming,Right shoulder bitten,09:00 - 11:59
3690,1963.0,Unprovoked,AUSTRALIA,New South Wales,Wombarra Beach near Austinmeer,fishing,Left leg lacerated,12:00 - 14:59
3691,1963.0,Unprovoked,FIJI,Lomaiviti  Island Group,"Taibaisa Passage, Gau Island",fishing,Left arm bitten,09:00 - 11:59
3695,1963.0,Unprovoked,AUSTRALIA,New South Wales,"Sugarloaf Bay, Middle Harbour, Sydney",playing,"FATAL, right femoral artery severed, thigh, calf, buttock & left hand bitten  ",12:00 - 14:59
3700,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Peace Cottage, Umdhloti",swimming,Lacerations & punctures on left  forearm,12:00 - 14:59
3701,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Selection Reef, Umdhloti",fishing,Lacerations to right  arm,15:00 - 17:59
3707,1962.0,Unprovoked,AUSTRALIA,South Australia,Carrickalinga Head,fishing,"FATAL, right leg bitten thigh to calf  ",12:00 - 14:59
3711,1962.0,Unprovoked,USA,California,Farallon Islands,surfing,"Arm, hand, buttock, leg and thigh bitten",12:00 - 14:59
3714,1962.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Paradise Reef,fishing,Arm lacerated (minor injury),15:00 - 17:59
3715,1962.0,Unprovoked,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",playing,"FATAL, both legs bitten  ",06:00 - 08:59
3720,1962.0,Unprovoked,BRITISH WEST INDIES,Grand Turk Island,Long Cay,fishing,Left thigh & hand & speargun bitten,12:00 - 14:59
3721,1962.0,Unprovoked,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",swimming,"Left arm severely bitten, surgically amputated",15:00 - 17:59
3723,1962.0,Unprovoked,ITALY,Tyrrhenian Sea,"Circeo, Secca del Quadro",fishing,"FATAL, multiple injuries to both legs  ",09:00 - 11:59
3730,1962.0,Unprovoked,USA,Texas,"Off Andy Bowie Park, Padre Island, near Port Isabel",surfing,"FATAL, lower right leg bitten",15:00 - 17:59
3731,1962.0,Unprovoked,USA,New Jersey,"Manasquan, Ocean County",playing,Left thigh & hand bitten,12:00 - 14:59
3732,1962.0,Unprovoked,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Pekinberui Village, Tabar Island",fishing,"FATAL, right thigh severely bitten, right ankle lacerated ",15:00 - 17:59
3738,1962.0,Unprovoked,USA,Georgia,"St. Simons Island or Jeykll Island, Glynn County",surfing,"Cuts on fingers, hand & wrist",15:00 - 17:59
3748,1962.0,Unprovoked,USA,South Carolina,"Hilton Head, Beaufort County",playing,Thigh bitten,15:00 - 17:59
3751,1962.0,Unprovoked,USA,Florida,"Riviera Beach, near Palm Beach Inlet, Palm Beach County",swimming,Left foot bitten,12:00 - 14:59
3756,1962.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,swimming,"Leg bitten, surgically amputated at knee",09:00 - 11:59
3757,1962.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umhlali,playing,Left ankle & foot bitten,09:00 - 11:59
3761,1962.0,Unprovoked,PAPUA NEW GUINEA,Madang,Matukar village ,swimming,"FATAL, calf bitten, other leg severed below knee",15:00 - 17:59
3765,1962.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,swimming,"FATAL, calf bitten twice",09:00 - 11:59
3766,1962.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,swimming,"FATAL, tissue removed from thigh, femoral artery severed ",15:00 - 17:59
3767,1962.0,Unprovoked,AUSTRALIA,Queensland,Greenmount Beach,swimming,Shin bitten,12:00 - 14:59
3775,1962.0,Unprovoked,NEW ZEALAND,North Island,"Slipper Island, Coromandel Peninsula",fishing,Shark struck him on shoulder injuring skin under suit,12:00 - 14:59
3776,1962.0,Unprovoked,USA,California,Farallon Islands,surfing,Buttock bitten & major leg wound,09:00 - 11:59
3778,1962.0,Unprovoked,AUSTRALIA,New South Wales,"Lennox Head, Ballina",surfing,Dorsum of foot lacerated & toe severed,12:00 - 14:59
3780,1962.0,Unprovoked,PAPUA NEW GUINEA,"10ºS, 142ºE",Jukuataia Village,fishing,Left leg & buttocks bitten,12:00 - 14:59
3781,1962.0,Unprovoked,NEW ZEALAND,South Island,"Fairdown Beach, 5 miles north of Westport",surfing,Right foot lacerated ,18:00 - 20:59
3788,1962.0,Unprovoked,MARSHALL ISLANDS,Kwajalein Atoll,Roi-namur Island,fishing,"2.5"" laceration on right hand",12:00 - 14:59
3792,1961.0,Unprovoked,AUSTRALIA,Queensland,"Lambert's Beach, Mackay",playing,"FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack",15:00 - 17:59
3793,1961.0,Unprovoked,AUSTRALIA,Queensland,"Lambert's Beach, Mackay",playing,"Hand bitten, surgically amputated",15:00 - 17:59
3794,1961.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,swimming,Lower right leg & ankle bitten,15:00 - 17:59
3797,1961.0,Unprovoked,MOZAMBIQUE,Gaza,Praia Sepulveda,playing,His left leg was severely bitten,15:00 - 17:59
3798,1961.0,Unprovoked,AUSTRALIA,Queensland,Noosa Heads,surfing,"FATAL, right wrist and hand bitten, left leg severed above knee ",06:00 - 08:59
3799,1961.0,Unprovoked,AUSTRALIA,Torres Strait,"Horn Island, near Thursday Island",swimming,Right thigh and leg lacerated,12:00 - 14:59
3806,1961.0,Unprovoked,CROATIA,Primorje-Gorski Kotar County ,"Opatija, northwestern coast of Rijeka Bay",swimming,"FATAL, hand severed & legs bitten  ",12:00 - 14:59
3809,1961.0,Unprovoked,PERSIAN GULF,25 km off the coast of Iran & 483km from mouth of Persian Gulf,Khark Island,swimming,"3"" cut on sole of foot",09:00 - 11:59
3812,1961.0,Unprovoked,USA,California,"Portuguese Beach at mouth of Salmon Creek, Sonoma County",swimming,"Foot, leg  & groin lacerated",09:00 - 11:59
3813,1961.0,Unprovoked,USA,South Carolina,"Pawley's Island, Georgetown County",playing,"Right arm bitten. Left leg bitten, surgically amputated ",06:00 - 08:59
3814,1961.0,Unprovoked,BERMUDA,,6 miles from shore,fishing,Right hand lacerated,09:00 - 11:59
3815,1961.0,Unprovoked,USA,Hawaii,"Pearl Harbor Channel, O'ahu",fishing,Hand bitten,15:00 - 17:59
3820,1961.0,Unprovoked,ITALY,Adriatic Sea,Riccione,fishing,Foot bitten,12:00 - 14:59
3822,1961.0,Unprovoked,USA,Florida,"500 yards from Fowey Rock Light, 9 miles east of Key Biscayne, Miami",swimming,"FATAL, arm severed & left side of torso removed ",09:00 - 11:59
3823,1961.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County",playing,Lacerations to left leg,12:00 - 14:59
3827,1961.0,Unprovoked,USA,California,"Tomales Point, Marin County",swimming,"No injury, wetsuit bitten",06:00 - 08:59
3829,1961.0,Unprovoked,USA,Florida,"Laguna Beach, Bay County",playing,Middle finger of left hand & right forearm lacerated,09:00 - 11:59
3833,1961.0,Unprovoked,MOZAMBIQUE,Gaza,"Sepulveda Beach, Xai Xai",swimming,"Multiple injuries to both hands, left leg & foot",09:00 - 11:59
3837,1961.0,Unprovoked,AUSTRALIA,New South Wales,10 miles off Nambucca Heads  onboard trawler,fishing,Tiny cuts & bruises on neck  ,21:00 - 23:59
3838,1961.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,swimming,"FATAL, extensive abdominal wounds, died 4 days later  ",09:00 - 11:59
3843,1961.0,Unprovoked,AUSTRALIA,Victoria,Lady Beach at Warrnambool,swimming,"Abdomen & arm bitten. Shark, holding him by the arm, leapt 4' to 5' above the surface",15:00 - 17:59
3845,1961.0,Unprovoked,AUSTRALIA,South Australia,Aldinga Beach,fishing,Left leg bitten  & left forearm lacerated,12:00 - 14:59
3846,1961.0,Unprovoked,NORTH PACIFIC OCEAN,Wake Island (EnenKio),"Leeward side of island, directly in back of Mid-Pac barrel storage area",swimming,Right elbow bitten,15:00 - 17:59
3848,1961.0,Unprovoked,FIJI,"19S, 178?E","Wotua Beach, 70 miles from Suva",swimming,Right forearm bitten,09:00 - 11:59
3850,1961.0,Unprovoked,AUSTRALIA,Victoria,Mount Martha Beach,playing,"Ankle bitten by small gummy shark, minor injury",18:00 - 20:59
3852,1961.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Sea Point,fishing,Torso bruised & abraded ,15:00 - 17:59
3853,1961.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,swimming,"FATAL, multiple injuries to both legs, feet & left arm  ",12:00 - 14:59
3857,1961.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,swimming,Left thigh bitten ,12:00 - 14:59
3859,1961.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,playing,"Right foot, leg and hand bitten",18:00 - 20:59
3862,1961.0,Unprovoked,MOZAMBIQUE,Limpopo River,190 km to 240 km from the sea,swimming,Leg bitten ,15:00 - 17:59
3863,1961.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Strandfontein,playing,"Lower left leg bitten, abrasions on back of right leg",15:00 - 17:59
3873,1960.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Margate,swimming,"FATAL, legs severed ",15:00 - 17:59
3874,1960.0,Unprovoked,AUSTRALIA,Queensland,"College's Crossing, 54 miles above mouth of the Brisbane River",fishing,Left thigh lacerated,09:00 - 11:59
3876,1960.0,Unprovoked,AUSTRALIA,Queensland,"Black's Beach, 9 miles north of Mackay",swimming,Right shoulder lacerated,12:00 - 14:59
3896,1960.0,Unprovoked,USA,New Jersey,"Ocean City, Cape May County",swimming,Right leg severely lacerated,15:00 - 17:59
3899,1960.0,Unprovoked,USA,Connecticut,"Off Eames Monument, Bridgeport, Fairfield County",swimming,Superficial laceration of left arm,12:00 - 14:59
3902,1960.0,Unprovoked,USA,New Jersey,"Sea Girt, Monmouth County",playing,"Lower right leg bitten, surgically amputated 10 days later",15:00 - 17:59
3915,1960.0,Unprovoked,USA,Florida,"2 miles east of Dania Beach, Broward County",swimming,"No injury, shark harrassed diver & attempted to bite his swimfins",09:00 - 11:59
3918,1960.0,Unprovoked,USA,Georgia,"North picnic area, Jekyll Island, Glynn County",swimming,Lower left leg & foot bitten,15:00 - 17:59
3919,1960.0,Unprovoked,PANAMA,San Blas Islands,Off Diable Island,swimming,Face lacerated,06:00 - 08:59
3920,1960.0,Unprovoked,BERMUDA,Paget,Elbow Beach /  Coral Beach,surfing,Foot bitten,15:00 - 17:59
3921,1960.0,Unprovoked,USA,California,"Aptos, Santa Cruz County",swimming,"Left leg bitten, surgically amputated below the knee",12:00 - 14:59
3924,1960.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,swimming,Multiple major injuries,15:00 - 17:59
3925,1960.0,Unprovoked,USA,California,"Tomales Point, Marin County",surfing,Foot & swim fin bitten ,12:00 - 14:59
3929,1960.0,Unprovoked,AUSTRALIA,New South Wales,"Horseshoe Bay, near Kempsey",surfing,Right arm & side bruised,15:00 - 17:59
3932,1960.0,Unprovoked,AUSTRALIA,New South Wales,Off Broughton Island near Port Stephens,fishing,Minor injuries to hand,12:00 - 14:59
3937,1960.0,Unprovoked,USA,Florida,"Off Boca Raton Hotel & Club, Boca Raton, Palm Beach County",swimming,"Ankle bitten, hand injured while striking shark",12:00 - 14:59
3939,1960.0,Unprovoked,AUSTRALIA,Tasmania,Ralph Bay,fishing,"No injury, Robertson knocked over & Hasler brushed by a shark",21:00 - 23:59
3950,1960.0,Unprovoked,AUSTRALIA,New South Wales,"Just below Roseville Bridge, opposite Killarney picnic reserve, Middle Harbor, Sydney",swimming,"FATAL, right leg severed above knee, surgically amputated but died 9 days later ",15:00 - 17:59
3954,1960.0,Unprovoked,NICARAGUA ,Pacific coast,San Jan del Sur,playing,Survived,06:00 - 08:59
3963,1960.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,playing,"Heel lacerated, hand lacerated & abraded",09:00 - 11:59
3973,1959.0,Unprovoked,AUSTRALIA,Victoria,"Fairhaven Beach, Lorne",surfing,"Thighs bitten, right hand lacerated",12:00 - 14:59
3974,1959.0,Unprovoked,AUSTRALIA,Queensland,"North Burleigh, near Brisbane",playing,Right foot lacerated,06:00 - 08:59
3975,1959.0,Unprovoked,AUSTRALIA,Queensland,"Surfer's Paradise, Northcliffe",surfing,"Lower left leg bittten, hand abraded",09:00 - 11:59
3979,1959.0,Unprovoked,USA,California,"Near Paradise Cove, Malibu, Los Angeles County",surfing,Forearm bitten,09:00 - 11:59
3984,1959.0,Unprovoked,USA,California,"Bodega Rock, Sonoma County",swimming,"Ankle twisted, swim fin bitten",15:00 - 17:59
3986,1959.0,Unprovoked,FIJI,Kadavu,Great Astrolabe Reef,fishing,forearm abraded,12:00 - 14:59
4005,1959.0,Unprovoked,JAPAN,Wakayama Prefecture,"Isonoura Beach, Wakayama City ",swimming,"FATAL, left thigh bitten",12:00 - 14:59
4006,1959.0,Unprovoked,USA,Georgia,"Savannah Beach, Savannah, Chatham County",playing,"4"" cut on left foot ",18:00 - 20:59
4010,1959.0,Unprovoked,USA,California,"Alligator Head, La Jolla, San Diego County",surfing,"14 punctures on right thigh, swim trunks torn",18:00 - 20:59
4021,1959.0,Unprovoked,USA,California,"La Jolla, San Diego County",swimming,"FATAL, body not recovered",15:00 - 17:59
4025,1959.0,Unprovoked,USA,California,"Baker Beach, San Francisco County",swimming,"FATAL, left arm bitten, right arm partly severed, deep lacerations of left shoulder & chest ",15:00 - 17:59
4026,1959.0,Unprovoked,USA,Florida,"Panama City, Bay County",fishing,Lacerated hip & hands,09:00 - 11:59
4033,1959.0,Unprovoked,USA,Florida,"Vaca Cut Channel & bridge under Marathon, Monroe County",swimming,"Bumped, then knee bitten",12:00 - 14:59
4039,1959.0,Unprovoked,SOLOMON ISLANDS,Guadalcanal Province,"Trench's Beach, Guadalcanal Island",playing,"FATAL, body not recovered",15:00 - 17:59
4040,1959.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Port Shepstone,swimming,Leg severed below knee,12:00 - 14:59
4045,1959.0,Unprovoked,AUSTRALIA,Queensland,Alexandra Headland near Mooloolaba,surfing,Right foot & toe bitten,09:00 - 11:59
4046,1959.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Melkbaai,swimming,Thigh & both wrists lacerated,15:00 - 17:59
4048,1959.0,Unprovoked,MOZAMBIQUE,Maputo Province,Off Inhaca Island,swimming,"Suttie's lower abdomen was bitten, Murray disappeared (presumed drowned)",06:00 - 08:59
4060,1958.0,Unprovoked,USA,Hawaii,"Near Twin Islands off Lanikai, O'ahu (east coast)",surfing,"FATAL, leg severed  ",12:00 - 14:59
4062,1958.0,Unprovoked,AUSTRALIA,Queensland,Surfer's Paradise,swimming,FATAL,15:00 - 17:59
4071,1958.0,Unprovoked,BAHAMAS,Cat Cay,off yacht Serenade,fishing,Right forearm lacerated,06:00 - 08:59
4074,1958.0,Unprovoked,CROATIA,Primorje-Gorski Kotar County,Mo?eni?ka Draga,swimming,Leg injured,18:00 - 20:59
4076,1958.0,Unprovoked,USA,Florida,"9 miles north of Turtle Beach, Siesta Key, Sarasota County",swimming,3 lacerations on leg,15:00 - 17:59
4077,1958.0,Unprovoked,USA,Florida,"Longboat Key, Sarasota, Sarasota County",swimming,"Left hand and  leg bitten, leg surgically amputated below hip",15:00 - 17:59
4084,1958.0,Unprovoked,BAHAMAS,Abaco Islands,North of Walkers Cay,fishing,"No injury, shark went for diver's leg & missed, diver hit shark on head with speargun & shark bit speargun ",12:00 - 14:59
4087,1958.0,Unprovoked,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",playing,Lower left leg & foot bitten,15:00 - 17:59
4092,1958.0,Unprovoked,TAIWAN,Taipei Hsien,Off Cape of Pi-tou,swimming,Right cheek bitten,15:00 - 17:59
4094,1958.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Port Edward,swimming,"FATAL, arm severed above elbow, abdomen & leg bitten  ",12:00 - 14:59
4099,1958.0,Unprovoked,AUSTRALIA,New South Wales,Brunswick Heads,surfing,"Laceration to left ankle, heel and little toe",15:00 - 17:59
4101,1958.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scotburgh,swimming,FATAL,06:00 - 08:59
4112,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Margate,playing,"Left arm severed, torso bitten, thigh lacerated, many abrasions",12:00 - 14:59
4113,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Splash Rock, Port Edward",swimming,Lacerations on head & neck,09:00 - 11:59
4114,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Margate,swimming,"FATAL, right arm broken & stripped of flesh, left hand severed above wrist, lower abdomen, buttocks & thigh bitten  ",15:00 - 17:59
4115,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Uvongo,playing,"FATAL, multiple, severe injuries  ",15:00 - 17:59
4116,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Karridene,surfing,"Left leg severed at knee, part of left thigh removed",15:00 - 17:59
4124,1957.0,Unprovoked,USA,North Carolina,"Salter Path, Atlantic Beach, Carteret County",swimming,"FATAL, knee bitten  ",15:00 - 17:59
4127,1957.0,Unprovoked,AUSTRALIA,New South Wales,"Tea Gardens, north of Newcastle",fishing,Thigh bitten & few lacerations on abdomen & buttock,12:00 - 14:59
4130,1957.0,Unprovoked,USA,California,"Atascadero Beach, Morro Bay, San Luis Obispo County",swimming,"FATAL, seen with arm in mouth of shark. Body not recovered.  ",12:00 - 14:59
4133,1957.0,Unprovoked,AUSTRALIA,Torres Strait,"Thursday Island Harbour, Queensland",swimming,"Left arm bitten, surgically amputated",12:00 - 14:59
4137,1957.0,Unprovoked,USA,Florida,"South Beach, Fort Pierce, St Lucie County",swimming,Foot bitten,15:00 - 17:59
4152,1956.0,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island (south end),fishing,"FATAL, left leg severed at hip, left torso removed ",12:00 - 14:59
4153,1956.0,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island,fishing,"FATAL, left arm, shoulder & chest bitten ",12:00 - 14:59
4158,1956.0,Unprovoked,SENEGAL,"Near Dakar, Cap Vert Peninsula",Isle de Gorée,swimming,Right thigh bitten,18:00 - 20:59
4168,1956.0,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",swimming,"Lacerated thigh, hand & shoulder",15:00 - 17:59
4169,1956.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Chain Rocks, Amanzimtoti",swimming,"No injury, right swim fin bitten",12:00 - 14:59
4178,1956.0,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",playing,Lacerations to legs,18:00 - 20:59
4179,1956.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",swimming,Arm & leg injured,15:00 - 17:59
4188,1956.0,Unprovoked,AUSTRALIA,Victoria,"Portsea Beach, near entrance to Port Phillip Bay",surfing,FATAL,15:00 - 17:59
